query,duration,rq,precision@5,precision@10,precision@30,average precision,f1@30,recall@5,recall@10,recall@30
artificial intelligence,0.969722033,0.321,0.6,0.5,0.267,0.491,0.219,0.07,0.116,0.186
physics,0.862606764,0.414,0.6,0.6,0.4,0.616,0.316,0.065,0.13,0.261
nanotechnology,0.964900494,0.587,1,0.8,0.533,0.857,0.415,0.106,0.17,0.34
When did the Black Death pandemic occur?,5.252671719,0.35,0.4,0.4,0.4,0.479,0.311,0.043,0.085,0.255
neuroscience,1.14967823,0.196,0.4,0.2,0.167,0.518,0.13,0.043,0.043,0.106
snowboard,0.967755795,0.466,1,0.6,0.233,0.912,0.304,0.312,0.375,0.438
Who is the founder of modern psychology?,2.822993994,0.155,0.2,0.3,0.167,0.454,0.127,0.02,0.061,0.102
best marvel movie,4.753139257,0.294,0.4,0.5,0.3,0.441,0.233,0.043,0.106,0.191
How do kids come to world?,6.682324648,0.08,0.2,0.1,0.067,0.163,0.05,0.02,0.02,0.04
Information retrieval,1.840991735,0.272,0.2,0.1,0.467,0.358,0.424,0.028,0.028,0.389
LinkedIn,0.71430707,0.565,0.6,0.7,0.4,0.647,0.533,0.2,0.467,0.8
How to make coffee?,0.618223906,0.445,0.8,0.6,0.4,0.567,0.308,0.083,0.125,0.25
Ritalin,0.823647022,0.549,0.8,0.5,0.467,0.648,0.418,0.108,0.135,0.378
How to make wine at home?,3.481404781,0.109,0.2,0.2,0.1,0.307,0.075,0.02,0.04,0.06
Most expensive city in the world,9.661028862,0.139,0.2,0.2,0.133,0.233,0.107,0.022,0.044,0.089
India,4.201361179,0.046,0.2,0.1,0.033,1,0.026,0.021,0.021,0.021
how to make money fast?,1.712567806,0.156,0.2,0.2,0.167,0.238,0.128,0.021,0.042,0.104
Netflix,1.018051147,0.062,0.2,0.1,0.033,1,0.037,0.042,0.042,0.042
Apple computer,1.220386028,0.328,0.4,0.5,0.333,0.446,0.278,0.048,0.119,0.238
The Simpsons,0.704491138,0.057,0.2,0.1,0.033,1,0.033,0.034,0.034,0.034
World cup,7.242825747,0.049,0.2,0.1,0.033,0.5,0.028,0.024,0.024,0.024
How to lose weight?,1.147372961,0.193,0.2,0.3,0.233,0.289,0.187,0.022,0.067,0.156
Java,0.985510588,0.227,0.8,0.4,0.167,0.877,0.132,0.087,0.087,0.109
Air Jordan,2.069080353,0.286,0.4,0.3,0.2,0.338,0.222,0.083,0.125,0.25
how to deal with depression?,1.336592436,0.193,0.4,0.3,0.167,0.492,0.127,0.041,0.061,0.102
How do you make gold,1.578262806,0.273,0.6,0.4,0.233,0.475,0.177,0.061,0.082,0.143
Marijuana,0.976863146,0.51,1,0.7,0.433,0.768,0.342,0.109,0.152,0.283
How to make hummus,0.485604525,0.579,0.8,0.8,0.567,0.742,0.454,0.089,0.178,0.378
Winter,3.606657743,0,0,0.2,0.067,0.171,0.057,0,0.049,0.049
Rick and Morty,0.766800642,0.438,0.4,0.5,0.5,0.541,0.484,0.062,0.156,0.469
Natural Language processing,2.965616226,0.42,0.6,0.3,0.367,0.377,0.323,0.079,0.079,0.289
World Cup 2022,6.751185894,0.298,0.4,0.5,0.233,0.465,0.237,0.069,0.172,0.241
Dolly the sheep,0.765636921,0.721,1,0.8,0.667,0.774,0.564,0.122,0.195,0.488
Cigarettes,1.109408617,0.243,0.2,0.4,0.4,0.425,0.308,0.021,0.083,0.25
What is the best place to live in?,8.046204329,0,0,0,0,0,0,0,0,0
Elon musk,0.574265957,0.571,0.6,0.6,0.5,0.736,0.545,0.12,0.24,0.6
How do you breed flowers?,0.886243343,0.092,0.4,0.2,0.067,0.833,0.052,0.043,0.043,0.043
python,1.122932911,0.429,0.6,0.7,0.6,0.731,0.334,0.038,0.09,0.231
data science,2.587429523,0.166,0.4,0.2,0.2,0.416,0.105,0.024,0.024,0.071
migraine,0.844163418,0.619,1,0.9,0.867,0.932,0.448,0.058,0.105,0.302
chocolate,0.895011425,0.105,0.2,0.1,0.133,0.35,0.071,0.012,0.012,0.048
how to make pasta,0.477332354,0.31,0.4,0.4,0.5,0.538,0.253,0.022,0.045,0.169
Does pasta have preservatives?,0.592070818,0,0,0,0.1,0.081,0.048,0,0,0.032
how google works,3.170421362,0.306,0.6,0.4,0.4,0.54,0.205,0.034,0.046,0.138
what is information retrieval,1.740320683,0.362,0.4,0.4,0.633,0.546,0.331,0.024,0.047,0.224
NBA,1.16783309,0.119,0.2,0.3,0.167,0.3,0.085,0.011,0.034,0.057
yoga,0.688332319,0.426,0.8,0.7,0.567,0.699,0.29,0.046,0.08,0.195
how to not kill plants,1.336584091,0.24,0.8,0.4,0.3,0.571,0.141,0.041,0.041,0.092
masks,1.056309462,0.323,0.6,0.7,0.433,0.626,0.221,0.034,0.08,0.148
black friday,2.464307785,0.348,0.8,0.5,0.4,0.545,0.222,0.051,0.064,0.154
why do men have nipples,1.75748086,0.476,0.8,0.9,0.667,0.862,0.339,0.045,0.102,0.227
rubber duck,0.71662569,0.569,0.8,0.7,0.633,0.73,0.442,0.071,0.125,0.339
michelin,0.471153021,0.368,0.8,0.6,0.367,0.747,0.239,0.065,0.097,0.177
what to watch,0.840897799,0.115,0.4,0.4,0.133,0.643,0.067,0.022,0.045,0.045
best marvel movie,4.031783104,0.443,0.8,0.9,0.633,0.752,0.306,0.043,0.096,0.202
how tall is the eiffel tower,1.537987471,0.456,0.6,0.8,0.6,0.744,0.368,0.044,0.118,0.265
where does vanilla flavoring come from,1.752637386,0.446,0.6,0.8,0.733,0.757,0.355,0.032,0.085,0.234
best ice cream flavour,4.150000095,0.291,0.4,0.4,0.4,0.494,0.229,0.027,0.053,0.16
how to tie a tie,0.668436289,0.48,0.6,0.8,0.767,0.791,0.4,0.035,0.094,0.271
how to earn money online,2.314412832,0.307,0.6,0.3,0.433,0.549,0.206,0.031,0.031,0.135
what is critical race theory,2.832485914,0.23,0.2,0.3,0.5,0.456,0.27,0.012,0.037,0.185
what space movie was made in 1992,8.481199265,0,0,0.1,0.067,0.098,0.031,0,0.01,0.02
how to vote,0.93508172,0.336,0.6,0.5,0.5,0.57,0.233,0.03,0.051,0.152
google trends,0.878493786,0.375,0.4,0.6,0.5,0.58,0.353,0.036,0.109,0.273
dim sum,0.732405663,0.667,1,0.8,0.833,0.897,0.5,0.071,0.114,0.357
ted,0.915407896,0.253,0.8,0.5,0.3,0.648,0.15,0.044,0.056,0.1
fairy tale,0.84991765,0.315,0.6,0.3,0.367,0.469,0.214,0.041,0.041,0.151
Average,2.441533616,0.311988889,0.513333333,0.444444444,0.3426,0.567611111,0.2435,0.054288889,0.092677778,0.202544444
